,name,description,country,year,genre
45,72 метра,"В начале девяностых, после раздела советского флота, экипаж ""Славянки"", отказавшись принять украинскую присягу, был переведен в Северогорск. С тех пор и жизнь, и служба идут своим чередом. И очередной выход в море – боевые плановые учения. Командир корабля оглашает поставленную задачу. Уничтожив торпедной атакой условного противника и уйдя от преследования, ""Славянка"" затем должна на время исчезнуть из поля зрения. Никто в Учебном центре не знает, в какую сторону будет двигаться подлодка. И никто не предполагает, что случится беда: волны от взрывов растревожат спящую со времен войны мину, которая, вынырнув из-под толстого слоя ила, медленно тронется навстречу субмарине.",Россия,2004,Не указан
46,Семейное счастье,"Варя, учительница литературы, уступив просьбе соседки подменить ее на рынке в палатке с одеждой и колготками, узнает в случайной покупательнице Галю, свою одноклассницу и когда-то лучшую подругу. Но, похоже, радость от встречи испытывает только она: Галя снисходительно оглядывает соученицу, сравнивая свой холеный вид с простотой облика Вари. При прощании Галя хочет было выбросить бумажку с телефоном Вари, но под взглядом подруги не решается сделать это.В общий их день рождения оказывается, что Галя при всем своем материальном благополучии (она – хозяйка салона красоты) остается в одиночестве: у любовника-покровителя заболела дочь, а других гостей она и не звала. Вспомнив о приглашении Вари, Галя, найдя в сумочке Варину записку с телефоном, напрашивается к той в гости. И попадает в теплый семейный дом, где есть место и гостям, и родственникам. Где не ругают детей за случайную шалость, где царствует любовь и взаимопонимание. Да еще оказывается, что муж Вари – чуть ли не писаный красавец Егор.Узнав, что Егор после сокращения ищет постоянную работу, Галя нанимает его личным шофером...",Россия,2015,мелодрама
47,Некрасивая подружка - 7. Эффект бабочки,"Придя в себя на больничной койке, домохозяйка Валя вспоминает события предыдущего дня. Вспышки воспоминаний кажутся абсурдными. Банка с солеными огурцами – бампер машины, мчащейся на нее – бокал с коктейлем у нее в руке – красивый мужчина, который дает пощечину женщине – труп мужчины на полу. И все это можно было бы списать на последствия черепно-мозговой травмы, если бы не одно но: мужчина, которого помнит Валя, действительно убит, - и расследует это преступление Тоня Остапчук.",Россия,2021,детектив
48,Тартюф,"По произведению Мольера.Мюзикл о похождениях лицемера, имя которого стало нарицательным. Тартюф втирается в доверие и предает, обманывает и соблазняет, сохраняя маску святости и не стесняясь ничем...С виду богобоязненный святоша Тартюф (Михаил Боярский) пользуется благо склонностью главы семейства Оргона (Владислав Стржельчик), который готов даже выдать красавицу Марианну (Анна Самохина) против её воли. На самом деле цель Тартюфа - соблазнить жену доверчивого хозяина дома, очаровательную Эльмиру (Лариса Удовиченко).",Россия,1992,"комедия, музыкальный фильм"
49,Волчок,"Российская империя. Рубеж XIX и XX веков. Тринадцатилетний дворянин и сирота Ваня Огарев бежит из Москвы в Нижний Новгород, спасаясь от убийц, подосланных его собственным дядей, решившим завладеть наследством мальчика. Для своей защиты Ваня нанимает случайно подвернувшегося ему кулачного бойца Волчка. Волчок должен помочь Ване добраться в целости и сохранности до Нижнего — там его ждет верный друг отца. Но все мероприятие с самого начала трещит по швам: фантазер, аристократ, эстет Ваня и неотесанный, хмурый мужик Волчок едва выносят друг друга. Впереди их ждет опасное путешествие, которое навсегда изменит обоих.",Россия,2025,"комедия, приключения"
50,Женская собственность,"По мотивам одноименного рассказа Валентина Черных.Молодой абитуриент Андрей заводит роман с преподавательницей актерского ВУЗа, в который он поступает. Она гораздо старше его, одинока и неизлечимо больна...",Россия,1998,мелодрама
51,Опять замуж,"Анна (Яна Еcипович) – дочь банкира, выросла в состоятельной семье с любящими родителями, которые давно заждались внуков. Анна никогда не считала себя красавицей, но сейчас верит, что и ей, наконец, улыбнулась удача. Она выходит замуж за молодого человека Егора.Но в день своей свадьбы Анна узнает, что жених давно изменяет ей с её же подругой, а женится на ней только ради денег ее отца и карьеры. Она сбегает из ЗАГСа и садится в ближайшее такси. Ехать ей некуда, и она предлагает случайному знакомому - таксисту Паше (Алексей Демидов) - приютить ее на недельку у себя. Паше срочно нужны деньги, поэтому он соглашается, не представляя какие сюрпризы ждут его впереди.Оказывается, что Аня – «ходячая катастрофа», у нее в руках все горит и ломается. А тут еще из деревни приезжают родители Паши, которые принимают Аню за его долгожданную невесту. Чтобы не травмировать маму с больным сердцем, Паша просит Аню подыграть ему…",Россия,2016,мелодрама
52,Эта женщина в окне...,"В небольшом провинциальном городке жили три подруги, а у одной из них - Евгении - был сын Валериан. Однажды в городок прибыл на гастроли цирк, в котором работал красавец силач Валериан Чернышов. И тут Евгения призналась подругам, что он и есть отец ее ребенка. При помощи подруг циркача поселяют в доме у Евгении...",СССР,1993,мелодрама
53,Самый новый год!,"У Саши три проблемы. Его девушка Оля хочет свадьбу, на которую он никак не может решиться, ведь он всего-навсего ветеринарный фельдшер и чистит уши собакам. Его родители: маме не нравится Оля, а папе не нравится его работа (потому что Саша чистит уши собакам). Он не нравится Олиной маме, потому что... да, вы угадали, потому что он чистит уши собакам.В новогоднюю ночь все собираются у Саши дома и продолжают на него давить. Чтобы хоть на какое-то время остаться наедине со своими мыслями, Саша прячется в туалете и думает о том, чтобы «провалиться куда-нибудь отсюда». Но иногда новогодние желания сбываются, и, нажав на смыв, Саша оказывается... в квартире своих родителей 31 декабря 1992 года…",Россия,2020,комедия
54,Сирота казанская,"Героиня фильма - молодая учительница Настя - о своем отце знает лишь то, что он - герой короткого курортного романа ее матери. Решив поместить в газете не отправленное письмо мамы к этому человеку, Настя, в общем, и не очень надеется на ответ, а тем более на то, что к ней в гости нагрянет сразу три претендента на роль отца. Да еще каких! А представьте, что пришлось пережить будущему мужу Насти, у которого неожиданно появилось три тестя!",Россия,1997,"комедия, мелодрама"
55,"Я думал, ты будешь всегда","Самовлюблённый мужчина лишь после смерти преданной ему жены осознаёт, что она была главным человеком в его жизни. Он отправляется в прошлое, чтобы покаяться перед ней, а ещё - найти ответ на вопрос, почему втайне от него она пожелала быть похороненной рядом со старой могилой неизвестного человека...",Украина,2013,"мелодрама, мистика"
56,Марш-бросок,"Попав в элитные войска спецназа, воспитанник детского дома Александр стремится попасть в Чечню, веря, что именно там его место. На этой жестокой войне он верен своим жизненным принципам и проявляет себя как герой и настоящий мужчина, для которого невозможно предательство, даже если от этого зависит его жизнь. Преодолев все испытания, познав боль потерь, Александр находит свою любовь и обретает дом, где его ждут...",Россия,2003,"боевик, военный фильм, драма, мелодрама"
57,Некрасивая подружка - 5. Тайна Белоснежки,"В коттеджном поселке под романтичным названием Город Ангелов живет странная пара. Он – современный знахарь, умеющий лечить отварами трав и малыми дозами ядов. Она – бывшая балерина, страдающая мигренями и почти не выходящая из спальни. Он умрет первым. У нее еще есть шанс спастись. Чтобы распутать клубок противоречий, из которых состоит это странное дело, надо прочитать только одно слово и вспомнить только одно имя. Преступник уверен, что все, кто мог это сделать, мертвы.",Россия,2021,детектив
58,След тигра,"В небольшом поселке, расположенном в тайге Приморского края, живет потомственный егерь Павел Широков. Однажды на его участке произошло дерзкое преступление: браконьеры отстрелили двух уссурийских тигров. В тот же день сотрудники ДПС остановили на трассе внедорожник. На просьбу открыть багажник пассажиры отреагировали агрессивно, началась перестрелка, и все ее участники погибли.Прибывший на место преступления полковник Хазов обнаружил в багажнике машины убитых тигров и узнал в одном из погибших браконьеров местного охотника-проводника. Хазов уверен: в ближайшие дни преступники будут искать нового человека, который сможет вывести их на след тигра. Он предлагает Широкову опередить браконьеров и выйти к месту нахождения тигра первыми, чтобы успеть предотвратить убийство животного. Уже в тайге, практически выследив уссурийского тигра, Широков понимает, что попал в смертельную ловушку…",Россия,2014,Криминальная драма
59,Папа,"Фильм снят по мотивам пьесы Александра Галича ""Матросская тишина""... История любви. Предательства. Прощения...1930-е годы. Талантливый юный скрипач приезжает учиться в Москву. Здесь он встречает свою любовь, за несколько счастливых лет к нему приходят успех и слава. Но все это время он должен скрывать свое происхождение. Когда тайное становится явным, ему нужно всего лишь... отказаться от своего отца. Или потерять всё.",Россия,2004,"военный фильм, драма"
60,"Двое в одной жизни, не считая собаки","Двое питерских стариков-интеллигентов, муж и жена, детьми пережили Великую Отечественную войну. Сейчас они живут одни, их дети уехали. Они обладают мудростью, спокойствием, оптимизмом, терпением и прощением — тем, чего так не хватает современным людям сегодня. Поэтому к ним, к их теплу и дому, как к огню, тянутся те, кому холодно и кому нужна помощь и поддержка.",Россия,2025,мелодрама
61,Орёл и решка,"По мотивам повести Владимира Маканина ""На первом дыхании"".Молодой парень едет на заработки на Север, чтобы заработать на собственную свадьбу. Но, пока он работал, невеста решила выйти замуж за другого. Узнав это, парень совершает безумный поступок - бросает работу, вскрывает сейф и летит в Москву...",Россия,1995,"комедия, мелодрама, экранизация"
62,Со дна вершины,"Алексей Царёв – семнадцатилетний лидер школы и подающий большие надежды чемпион юношеской сборной по горным лыжам. У Алексея есть любимая девушка Лина и друг Костя, его соперник и в спорте, и в любви. Алексей – первый во всём. Он уверен в себе, не умеет и не желает проигрывать. Но всё меняется в один миг. После трагической случайности, которая происходит с Алексеем по вине Кости, их дружбе предстоит пройти проверку на прочность. Но сила духа, добро и любовь помогут перенести все испытания судьбы и приведут каждого к своей победе.",Россия,2017,"мелодрама, спортивный фильм"
63,Террор любовью,"По одноименной повести Виктории Токаревой.Тетя Тоня – добрая и простая женщина, но это как раз тот случай, когда простота хуже воровства. Тетя Тоня любит вмешиваться в судьбы окружающих, коллег и соседей, но главным образом – своей дочери Нонны. Нонна мечтает вырваться из жизни в коммуналке, встретить свое счастье, стать актрисой и жить красиво. И ей это почти удается. Девушка собирается замуж за декана актерского факультета, разумеется, успешно пройдя вступительные испытания, и готовит себя к большому будущему на сцене. Тетя Тоня недовольна выбором дочери, но не мешает ее замужеству, а наоборот, помогает, стараясь изо всех сил угодить ей и будущему зятю и, конечно, делает это весьма нелепо.В этом классическом конфликте поколений, где вездесущая бабья мудрость оказывается не к месту, так ли все просто, как кажется на первый взгляд? Это покажет лишь время, и у зрителей есть возможность во всем разобраться, ведь действие картины охватывает несколько десятилетий.",Россия,2009,мелодрама
64,Московские тайны - 4. Графский парк,"""Московские тайны"" – цикл фильмов про следователя Вяземскую.""Графский парк"" - четвертый фильм цикла.Ранним утром на территории Останкинского парка обнаружена девушка. Кто-то разложил на траве тело, закинув ее руки за голову и привязав веревку к ноге. Девушка оказывается живой, но в коме. Настя Вяземская не успевает разгадать смысл этого извращенного ритуала, как в парке появляется новая жертва – мужчина, чудом оставшийся в живых. Над Останкино сгустились тучи. Кто придет сюда гулять и любоваться Шереметевской усадьбой, если здесь орудует опасный маньяк? Настя начинает догадываться, что преступник вдохновился легендами о жене графа, крепостной актрисе Жемчуговой. Но лишь разоблачив злодея, она понимает, что он был всего лишь марионеткой в чужих руках…",Россия,2018,"детектив, криминальный фильм"
65,Счастье - это...,"Молодые кинематографисты под руководством мэтров отечественного кино, начинающие актеры и звезды встретились в уникальном кинопроекте. Семь непохожих историй, семь разных хэппи-эндов, семь доказательств того, что каждый достоин счастья...",Россия,2015,киноальманах
66,Балканский рубеж,Югославия. 1999 год. Российская спецгруппа получает приказ взять под контроль аэродром Слатина в Косово и удерживать его до прихода подкрепления. Но этот стратегический объект крайне важен албанскому полевому командиру и натовским генералам. Группа вынуждена принять неравный бой с террористами. К аэродрому устремляются российские миротворцы и силы НАТО. Мир вновь близок к большой войне.Но командиру спецгруппы Андрею Шаталову не до политики: в аэропорту среди заложников его любимая девушка Ясна...,"Россия, Сербия",2019,"военный фильм, драма"
67,Интим не предлагать,"Красавец Иван обожает своё холостяцкое положение. Он получает удовольствие от собственной независимости и абсолютной свободы. Однако в жизни Ивана настаёт момент, когда его начинает тянуть на домашний уют и комфорт. Сам себе Ваня такое обеспечить не в состоянии, поэтому даёт объявление о том, что требуется умелая прислуга, желательно без образования, но умеющая прекрасно готовить, стирать и убирать. Ваня предоставляет ей жильё – комнату бесплатно, в обмен на это девушка должна обеспечить ему домашний уют. Ваня, когда давал подобное объявление, предполагал, что нашёл гениальное решение проблемы. Но только одного парень не учёл – у судьбы свои планы...",Россия,2016,мелодрама
68,Любимые женщины Казановы,"Иван - единственный мужчина в семье. Он окружен заботами мамы, бабушки и двух сестер. Женщины не дают ему ""продохнуть"", мучая советами по поводу личной жизни.Однажды молодой человек заключает договор с одной безбашенной девицей, представляя ее своей семье в качестве жены. Иван делает это намеренно, чтобы когда он приведет в дом настоящую любимую девушку, семья приняла бы ее радостно.Родственники в недоумении и не могут смириться с взбалмошной невесткой, но постепенно девушка вносит изменения в размеренный уклад семьи...",Россия,2014,мелодрама
69,Брестская крепость,"Фильм рассказывает о героической обороне Брестской крепости, которая приняла на себя первый удар немецких захватчиков 22 июня 1941 года. С документальной точностью описываются события, происходившие в первые дни обороны. Фильм рассказывает о главных трёх очагах сопротивления, возглавляемых командиром полка Петром Михайловичем Гавриловым (Александр Коршунов), полковым комиссаром Ефимом Моисеевичем Фоминым (Павел Деревянко) и начальником 9-ой погранзаставы Андреем Митрофановичем Кижеватовым (Андрей Мерзликин). Линией, связывающей всех героев, является история Сашки Акимова (Алёша Копашов). Именно его глазами мы видим события фильма. Прототипом Сашки был пятнадцатилетний Петя Клыпа, один из немногих выживших защитников Брестской крепости.Главная идея картины лучше всего сформулирована в надписи, обнаруженной на стене одного из казематов ""УМИРАЮ, НО НЕ СДАЮСЬ""","Беларусь, Россия",2010,военно-патриотическая драма
70,Графомафия,"Успешный издатель Надежда Павловна нанимает  мечтающих о славе графоманов, чтобы убить талантливого писателя и  присвоить  его роман, который принесет славу ее обожаемому сыну. Банда графоманов с энтузиазмом берется за дело. Ведь цена успеха – издание их  творений. Но, оказывается, применять кровавые методы в жизни намного сложнее, чем в написании триллера.А сыну Шурку, ради которого все и затевалось, не нужна слава, ему не интересна литература. Он любит дорогие машины, красивых девушек и мечтает встретить настоящую любовь. У каждого свое представление об успехе и счастье.  Для одних предел мечтаний увидеть свое имя на  книжной обложке, для других - популярность в соцсетях, а для кого-то это встреча со своей любовью. Именно Любовь стала  главным героем этой доброй комедии.",Россия,2017,комедия
71,Как вернуть мужа за 30 дней,"Лена обескуражена: через тридцать дней произойдёт развод с мужем-изменником, а единственная дочь решила остаться не с ней, а с отцом. Осознав, что всё не имеет смысла, Лена выходит на балкон, решая свести счёты с неудавшейся жизнью. Однако нарушает её планы непонятно откуда появившийся рядом сосед Олег. Проведя воспитательную беседу с Леной и собираясь уже уходить, Олег замечает на стене картину. Мужчина предлагает соседке сделку: если он возвращает ей мужа за тридцать дней, она продаёт ему эту картину. И Лена соглашается...",Россия,2017,"комедия, мелодрама"
72,Приходи на меня посмотреть,"По мотивам  пьесы Надежды Птушкиной «Пока она умирала».Софья Ивановна уже десять лет не встает со своего кресла, целыми днями смотрит в окно, клеит из бумаги трогательные фигурки и слушает Диккенса, которого читает ей вслух единственная дочь Таня. Годы неторопливо и незаметно проходят в старинной квартире. Возможно, эти женщины провели бы вдвоем еще немало тихих, уединенных лет в своей уютной квартире, если бы в один из предновогодних вечеров Софья Ивановна не собралась бы... умирать. И так сильно захотелось Софье Ивановне, чтобы ее дочь была счастлива, а Тане так захотелось, чтобы у ее мамы на душе было спокойно.... И так близок был Новый год, что за окном старой московской квартиры начались самые настоящие новогодние чудеса.""Золотая подкова"" Олегу Янковскому за режиссуру и исполнение главной роли, Диплом жюри МКФ ""GoEast-2001"" (Висбаден), приз ОРКФ в Сочи-2001 Олегу Янковскому за лучшую мужскую роль, номинации на премию ""Ника""-2000 в категориях ""Лучшая женская роль"" (Екатерина Васильева) и ""Лучшая мужская роль"" (Олег Янковский).",Россия,2000,"комедия, мелодрама"
73,Звезда,"По мотивам одноименной повести Эм. Казакевича.Фильм о рейде группы разведчиков - молодых ребят, в тыл врага для выполнения важного задания. 1944 год. Великая Отечественная война. Неприятель отступает, линия фронта размыта. Группа разведчиков - молодых ребят от семнадцати до двадцати пяти лет - отправляется в тыл врага, чтобы уточнить имеющиеся сведения о группировке противника. ""Звезда"" - это позывные группы, с помощью которых разведчики должны выходить на связь. Пройдя линию фронта, разведчики постепенно убеждаются, что противник тайно производит серьезную перегруппировку войск для решительного контрнаступления. Командир разведчиков лейтенант Травкин решает незаметно проникнуть на железнодорожный узел, где, по добытым сведениям, разместился центр командования.",Россия,2002,"военный фильм, драма, приключения, экранизация"
74,Знакомство,"Один из главных героев фильма - Коля (Павел Баршак) – эгоистичный молодой мужчина, который уже год как бросил работу, чтобы «найти себя», но вместо реального поиска он погружен в виртуальное общение в социальных сетях и слабо реагирует на окружающий мир, в котором есть ещё и жена (Агния Кузнецова). Молодая женщина, устав от такой жизни, уходит от мужа.Единственный человек, с которым Коля реально, а не виртуально общается и которому доверяет - его старший брат – художник, любимчик отца (Сергей Маковецкий) и любимец женщин.",Россия,2017,"детектив, триллер"
75,Некрасивая подружка - 8. Сердце зверя,"Любовники, собиравшиеся сбежать от своих супругов, найдены мертвыми в лесу. Версия напрашивается сама собой: убийство на почве ревности. Однако в деле есть обстоятельство, переворачивающее все с ног на голову. Она убита полгода назад, а он - буквально вчера. «Дамский отдел» Следственного комитета города Ленска расследует новое преступление, которое станет городской легендой. В личной жизни героев тоже бушуют бури.",Россия,2022,детектив
76,Один настоящий день,"Старший следователь районного следственного комитета — циник и карьерист, готовый на все ради достижения своих целей. Его милая, добросердечная жена Настя ждет первенца и не подозревает о двойной жизни внешне исполнительного капитана следственного комитета и добропорядочного гражданина, своего любимого мужа.Однажды Капитонов получает «спецзадание» от начальства: снять обвинение в убийстве с «хозяина» города, местного авторитета Сафина, отправив в тюрьму невиновного.Череда событий заставляет героя по-новому взглянуть на свои действия и окружающих его коррумпированных сослуживцев. Капитан Капитонов оказывается перед сложным выбором, где с одной стороны – его ждёт блестящая карьера и прекрасный  финансовый достаток, а с другой – поступок, совершив который он может потерять всё, даже свою жизнь… Наступает тот самый  день - «Один настоящий день», который даёт герою возможность нравственного перерождения и духовного взлёта.",Россия,2022,"детектив, драма, криминальный фильм, триллер"
77,Барышня-крестьянка,"По мотивам повести А.С.Пушкина.В соседское имение приезжает молодой барин. Лиза хочет познакомиться с красавцем, но их отцы не общаются, давно затаив обиду друг на друга. Девушка, зная о том, что молодой барин любит по утрам объезжать лес, переодевается в крестьянское платье и рано утром, прихватив лукошко, идет в лес.",Россия,1995,"мелодрама, экранизация"
78,Перекрёсток,"Он никогда не верил в любовь с первого взгляда. Она никогда не знакомилась с мужчинами на улице. Случайно встретились, понравились друг другу - с кем не бывает. Но чтобы сразу - и под венец?.. Думаете: сказка? Ничего подобного! Нормальное стечение жизненных обстоятельств - ему надо лететь в Америку, ей предлагают престижную работу. А без штампа в паспорте ни визы, ни хорошего места не получить. И кто бы мог предположить, что эти два прагматика окажутся неисправимыми романтиками!..",Беларусь,1998,"мелодрама, музыкальный фильм"
79,Отец,"Экранизация рассказа Андрея Платонова ""Возвращение""Закончилась война. Только вместо счастья и радости испытывает Алексей Иванов горечь и страх. Надо возвращаться домой, а боязно. Помнят ли его дети, которых он оставил малышами? Помнит ли жена Люба? Так же страшновато возвращаться девушке Маше, у которой погибли родители, и в родном городе ждут только дальние родственники. Алексея и Машу сводит судьба в поезде на пути домой. И Алексей вдруг выходит c Машей на ее станции, и остается там на пару дней. А затем, пообещав Маше ""помнить ее светлый образ"", наконец едет к своим. Жена и дети живы, здоровы, только радуйся.Но не напрасно оттягивал он момент свидания с родными: не так-то просто привыкать к забытой мирной жизни. На войне все было понятно, каждый день, как последний. А здесь: Нужно принимать и преодолевать трудные будни, пытаться понять жену и детей с их прошлыми и новыми заботами. Алексей учится жить заново - прощать и любить...",Россия,2007,"драма, исторический фильм, мелодрама"
80,Марафон,"Жизнь Толика  не удалась, спортивная карьера не состоялась, жена ушла к другому. Неуспешный, нелюбимый, безнадежный он потерял веру в себя…Все меняет случайная встреча со странной незнакомкой Анной Ильиничной, которая предлагает ему принять участие в необычном марафоне  в далекой Америке.Женщина отчаянно мечтает выиграть марафон, проходящий в Америке, чтоб получить приз в один миллион долларов. Несмотря на то, что Толик циничный и приземленный, он все же решается на авантюру: соглашается тренировать Анну Ильинишну, а после победы - денежный приз разделить пополам.За победой ""парочка"" хочет отправиться в США, где их ждет главный забег в жизни обоих...",Россия,2012,"комедия, мелодрама"
81,Некрасивая подружка - 6. Шоколадное убийство,"Антонина Остапчук на пороге судьбоносного решения. Она выходит замуж и навсегда прощается с работой следователя. Осталось одно, последнее дело. При загадочных обстоятельствах убита заведующая приемным отделением Ленской больницы. Женщина вела скромный образ жизни и не имела вредных привычек, кроме одной слабости: она любила шоколад. Отравленная плитка поджидала ее в обычном продуктовом магазине. Как убийца мог рассчитать, кому достанется эта шоколадка? Эта запутанная история, которая началась много лет назад, оказывается роковой для многих - и в том числе для самой Тони.",Россия,2021,детектив
82,Америкэн бой,"Через ад афганской войны и ужас плена прошел сирота Коля Найденов. Отныне он - американский гражданин, его зовут Ник Маккен, в Штатах у него семья и новая жизнь. Но в России еще остались неоплаченные счета. И вот крутой ""америкэн бой"" возвращается на родину, чтобы отомстить за смерть друга.",Украина,1992,"боевик, криминальный фильм"
83,Жизнь одна,"Десять лет брака закончились для героини фильма Марины крахом: она не смогла простить мужу интрижки с секретаршей. Теперь вся ее жизнь подчинена любимому делу - журналистике. Но от работы на износ возникают проблемы со здоровьем, и врачи настоятельно рекомендуют ей отдохнуть в санатории. Следом зa ней туда же отправляется человек, которому поручена столь же ответственная, сколь и секретная миссия...",Россия,2003,мелодрама
