,name,description,country,year,genre
11,Пальма,"Овчарка по кличке Пальма вынужденно расстается с хозяином: тот улетает заграницу, а верную собаку не берут на рейс и оставляют прямо на летном поле.Пальма прячется в аэропорту и каждый день встречает самолеты в надежде, что хозяин вернулся. Но время идет…9-летний Коля – тоже новенький в аэропорту: он потерял маму и переехал к отцу-пилоту, которого почти не знает. Пальма становится для мальчика родственной душой и лучшим другом. А отцу Коли, летчику Лазареву, предстоит заслужить доверие и любовь сына, сделав нелегкий выбор между карьерой и семьей. И найти способ не разлучить друзей, когда за Пальмой однажды возвращается хозяин.","Россия, Япония",2021,"драма, семейное кино"
12,Призрак,"Еще вчера Юрий Гордеев — амбициозный авиаконструктор и любимец женщин — был в шаге от своего триумфа. Его самолет ЮГ-1 должен был стать настоящим прорывом в отечественной авиации. Но сегодня его никто не видит и не слышит, и конкурент по бизнесу беспрепятственно закрывает его компанию. Все потому, что Юра разбился в автокатастрофе и стал призраком.Восьмиклассник Ваня Кузнецов был пустым местом всегда. Жертва гиперопеки матери, объект насмешек одноклассников, он боится даже заговорить с девочкой, в которую давно влюблен.У Юры есть неделя, чтобы закончить дело своей жизни и поднять самолет в воздух. Ваня — единственный, кто его видит и может ему помочь.",Россия,2015,"комедия, мистика"
13,Крик тишины,"По повести Тамары Цинберг «Седьмая симфония».Блокадный Ленинград. Февраль 1942 года.Заканчивается самая страшная блокадная зима. Невыносимый голод и холод. Нина Воронова (Светлана Смирнова-Марцинкевич) совсем отчаялась. Ее трёхлетний сын Митя (Лева Гиршов) ослабел, а карточки на хлеб уже отоварены на два дня вперед. Последняя надежда – эвакуация. Но с маленьким детьми не берут. Тогда женщина идет на чудовищный шаг – эвакуируется, оставив сына одного в промерзшей квартире.Во время налета мальчика спасает девочка-подросток Катя Никонорова (Алина Саргина). У самой Кати никого не осталось – отец погиб на фронте, мама недавно умерла от голода. Они с малышом никому не нужны.Девочка выдает Митю за своего брата и обещает себе сделать все, чтобы Митя выжил. Несмотря ни на что…",Россия,2019,"военный фильм, драма, социальная драма, экранизация"
14,Луной был полон сад,"Живут-поживают в Питере супруги. Он пишет мемуары о сталинских лагерях. Она, бывшая учительница, бегает по частным урокам, чтобы подработать к пенсии. Но однажды привычный ход жизни нарушается неожиданным событием: Вера Андреевна случайно встречает Алексея - свою первую любовь...",Россия,2000,драма
15,Любовь под прикрытием,"По роману Андрея Кивинова ""Одноклассница"". Мелодрама с криминальным уклоном поведает зрителю историю пары, отношения в которой начинают строиться со знакомства в районном милицейском участке и перерастают в сильную настоящую любовь.",Россия,2010,"криминальный фильм, мелодрама, экранизация"
16,Не хочу жениться!,"Принципиальный холостяк, мастер пластических операций при довольно странных обстоятельствах знакомится с длинноносой милиционершей. Сделав ей операцию, он подобно Пигмалиону, сотворившему Галатею, влюбляется в прекрасное творение руксвоих и заявляет: ""Я хочу на тебе жениться!""",Россия,1993,комедия
17,Монах и бес,"Фантастическая история первой половины XIX века.В мужском монастыре появляется новый насельник Иван Семенович. Но вместе с монахом в монастырь проникают темные силы, которые материализуются в лице Легиона (так он представился Ивану). Легион избрал Ивана объектом своей дьявольской работы, всячески искушая его, чтобы сбить с избранного им пути служения Богу. Но чем сильнее искушение, тем крепче духовные силы Ивана…",Россия,2016,"комедия, мистика, фэнтези"
18,Двенадцать чудес,"Обаятельная учительница математики из маленького российского городка мечтает о чудесах. И первое чудо случается с Наташей, когда в поезде она знакомится с молодым мужчиной - Максимом. Он приглашает ее поработать учителем его дочери Алисы, а мать Натальи приглашает в качестве домработницы...",Россия,2017,мелодрама
19,Всё о его бывшей,"Рита не верит в любовь. Ее опыт говорит, что выходить замуж нужно по расчету, а уж рассчитывать она умеет! Игорь кажется идеальным кандидатом. Но кто знает — не скрывается ли за благополучным фасадом какой-то роковой недостаток? Чтобы узнать о будущем муже как можно больше, Рита решает подружиться с его бывшей женой...",Россия,2018,мелодрама
20,Классик,"К профессиональному игроку на бильярде Савицкому обращаются люди с предложением пожертвовать 20 тысяч долларов в фонд ветеранов игры. Узнав, что многие уже дали эти суммы, жадный и подлый Савицкий тоже дает, но организует на дороге засаду бандитов, переодетых в милиционеров. Один из попавших в засаду чудом остается жив и сообщает своим о вероломстве игрока. Принимается решение наказать подонка, наказать тонко, при помощи бильярдной аферы. К Савицкому посылают суперигрока по кличке Классик в сопровождении телохранителя. Он должен выиграть деньги, ставка установлена в 150 тысяч наличными.",Россия,1998,"детектив, комедия"
21,Воспитание жестокости у женщин и собак,"Живет одинокая и красивая женщина, встречается с Виктором - волевым, жестким, ""настоящим"" мужчиной. Она находит брошеную собаку (ризеншнауцер), называет ее Нюрой, а любовнику не нравится присутствие животного, отвлекающее его от того, зачем он приходит. Они расстались. Женщина знакомится с кинологом Борисом, добрым и приятным парнем, который позже помогает ей искать украденную любимицу. Когда она находит Нюрку, новый хозяин, переименовавший ее в Дэзи, отдать ее отказался и пригрозил насилием.",Россия,1992,"драма, социальная драма"
22,Ворошиловский стрелок,"Прошли времена, когда действовали законы, и преступников, вне зависимости от их положения, ждало суровое наказание. Старик, чью внучку изнасиловали трое молодчиков, по-прежнему верит в святость правосудия. Однако ни милиция, в которой работает отец одного из негодяев, ни вышестоящие инстанции не делают ничего, чтобы покарать насильников. И тогда ветеран войны решает сам свершить свой справедливый суд. Он покупает винтовку с оптическим прицелом, снимает квартиру напротив дома подонков и ждет своего часа, вызывая из памяти смертельные навыки, о которых старался забыть навсегда...",Россия,1999,"драма, криминальный фильм, социальная драма"
23,Время собирать камни,"Июнь 1945 года, война окончена. Весь народ возвращается к мирной жизни, но сколько еще установлено войной ""мин на неизвлекаемость"" в сердцах и душах людей...Подписана капитуляция. Закончился один из самых страшных периодов страны. Что ждет людей, прошедших настоящий ад, впереди? С чем они войдут в новую жизнь? Лейтенант Онезорг, немецкий минер, не может жить с тем грузом, который ему достался. Он выбирает путь искупления. Повернуть время вспять хотя бы для своей совести - возможно ли это? Капитану Демину некуда возвращаться, война отняла у него не только здоровье, но и семью. Он не хочет, и даже немного боится мирной жизни. Но новое время вынуждает его жить по своим законам. Путь с врагом, с которым теперь волей обстоятельств ему придется сотрудничать, это его возвращение к миру...",Россия,2005,"военный фильм, драма"
24,Убийство на Ждановской,"В основе сюжета - событие, нашумевшее в свое время не без стараний 'четвертой власти' (то есть прессы), которая, когда ей разрешают сверху, работает в нашей стране не хуже, чем на Западе. Немалую лепту внес и следователь Владимир Калиниченко, занимавшийся расследованием убийства сотрудника КГБ сотрудниками милиции и рассказывавший при первой возможности о том, какую роль имело это расследование в борьбе за власть, что велась в последние месяцы жизни Леонида Ильича Брежнева, руководившего страной с чувством глубокого удовлетворения.",Россия,1992,Не указан
25,Люблю тебя любую,"Сёстры, Наталья и Лариса, любительницы спорить. В одном из споров ставкой становится половина магазина, принадлежащего обеим сестрам. А предметом спора - убежденность Натальи в своем умении ""выдрессировать"" любого мужчину. Мужчиной, который должен пригласить Наталью замуж, по воле Ларисы и её мужа становится обыкновенный дворник Николай. Лариса точно знает, что сестра ненавидит Николая с первого взгляда...",Россия,2017,мелодрама
